layers,Hit_mean,Hit_std,Hit_at_1_mean,Hit_at_1_std,Macro_F1_mean,Macro_F1_std,Macro_Precision_mean,Macro_Precision_std,Macro_Recall_mean,Macro_Recall_std,Exact_Match_mean,Exact_Match_std,Totally_Wrong_mean,Totally_Wrong_std,Hal_Score_mean,Hal_Score_std,Micro_F1_mean,Micro_F1_std,Micro_Precision_mean,Micro_Precision_std,Micro_Recall_mean,Micro_Recall_std,no_answer_ratio_mean,no_answer_ratio_std
0,85.49140049140048,0.7234088707831579,81.33906633906633,0.7738095099888658,69.75407623199426,0.6955796402508487,77.19186324654501,0.6241532609292327,71.25896291573157,0.7146189253531229,49.34889434889435,1.3882607456036042,14.754299754299755,0.7234088707831591,81.35911926475718,0.5617271804815133,0.44157259074506233,0.008717571662598029,0.7466852798120487,0.013994321406326993,0.3135044642857142,0.00710787380646834,0.02309582309582306,0.001273737183865309
1,85.24570024570025,0.2861379532887477,80.97051597051596,0.521932328900441,69.98194704826173,0.4752615171878705,77.42401838796737,0.3930462356011078,71.29034433353605,0.49057880091632294,49.96314496314496,0.5113428842326133,15.085995085995085,0.26276719454800285,81.73148535440924,0.26071423699015644,0.44637809457624755,0.00689897827402477,0.7540189017900495,0.0130867632330943,0.31704799107142856,0.0053466694495551284,0.02641277641277636,0.0015660379341501309
2,85.86199836199836,0.6458887317344939,81.2960687960688,0.3403414048450875,70.0386328693636,0.6270606047088612,77.43880316741986,0.5692878343256562,71.54518460212826,0.576270174896143,49.17076167076167,0.6692231547894284,14.516789516789515,0.6577550534074121,81.66350433312475,0.24044151871344077,0.44889886446048943,0.002424160369815012,0.761885901546024,0.014201624107467324,0.31821986607142855,0.0015077294738957948,0.025081900081900033,0.0018799146488350646
